155: (((4 + square(4!)) / 4) + sum(4))
155: (((square(4!) + 4) / 4) + sum(4))
155: (sum(4) + ((4 + square(4!)) / 4))
155: (sum(4) + ((square(4!) + 4) / 4))
155: (sum(4!) - ((4 + square(4!)) / 4))
155: (sum(4!) - ((square(4!) + 4) / 4))
155: (((sum(4!) + sum(4)) * sqrt(4)) / 4)
155: (((sum(4!) + sum(4)) / 4) * sqrt(4))
155: (((sum(4) + sum(4!)) * sqrt(4)) / 4)
155: (((sum(4) + sum(4!)) / 4) * sqrt(4))
155: ((sqrt(4) * (sum(4!) + sum(4))) / 4)
155: ((sqrt(4) * (sum(4) + sum(4!))) / 4)
155: ((sqrt(4) / 4) * (sum(4!) + sum(4)))
155: ((sqrt(4) / 4) * (sum(4) + sum(4!)))
155: ((sum(4!) + sum(4)) * (sqrt(4) / 4))
155: ((sum(4!) + sum(4)) / (4 - sqrt(4)))
155: ((sum(4!) + sum(4)) / (4 / sqrt(4)))
155: ((sum(4) + sum(4!)) * (sqrt(4) / 4))
155: ((sum(4) + sum(4!)) / (4 - sqrt(4)))
155: ((sum(4) + sum(4!)) / (4 / sqrt(4)))
155: (sqrt(4) * ((sum(4!) + sum(4)) / 4))
155: (sqrt(4) * ((sum(4) + sum(4!)) / 4))
155: (sqrt(4) / (4 / (sum(4!) + sum(4))))
155: (sqrt(4) / (4 / (sum(4) + sum(4!))))
155: (((sqrt(4) + sum(4!)) / sqrt(4)) + 4)
155: (((sum(4!) + sqrt(4)) / sqrt(4)) + 4)
155: (4 + ((sqrt(4) + sum(4!)) / sqrt(4)))
155: (4 + ((sum(4!) + sqrt(4)) / sqrt(4)))
155: ((square(4) - (sqrt(4) / 4)) * sum(4))
155: (sum(4) * (square(4) - (sqrt(4) / 4)))
155: (((sum(4!) - sum(4)) / sqrt(4)) + sum(4))
155: (sum(4) + ((sum(4!) - sum(4)) / sqrt(4)))
155: (sum(4) - ((sum(4) - sum(4!)) / sqrt(4)))
155: (((sum(4) - sum(4!)) / sqrt(4)) + sum(4!))
155: ((sum(4!) / sqrt(4)) + (sum(4) / sqrt(4)))
155: ((sum(4) / sqrt(4)) + (sum(4!) / sqrt(4)))
155: (sum(4!) + ((sum(4) - sum(4!)) / sqrt(4)))
155: (sum(4!) - ((sum(4!) - sum(4)) / sqrt(4)))
155: ((square(4) * sum(4)) - (sum(4) / sqrt(4)))
155: ((sum(4) * square(4)) - (sum(4) / sqrt(4)))
