433: (((4 - square(4!)) / 4) + square(4!))
433: (square(4!) + ((4 - square(4!)) / 4))
433: (square(4!) - ((square(4!) - 4) / 4))
433: (((square(4!) + sum(4!)) - sum(4)) / sqrt(4))
433: (((square(4!) - sum(4)) + sum(4!)) / sqrt(4))
433: (((sum(4!) + square(4!)) - sum(4)) / sqrt(4))
433: (((sum(4!) - sum(4)) + square(4!)) / sqrt(4))
433: ((square(4!) + (sum(4!) - sum(4))) / sqrt(4))
433: ((square(4!) - (sum(4) - sum(4!))) / sqrt(4))
433: ((sum(4!) + (square(4!) - sum(4))) / sqrt(4))
433: ((sum(4!) - (sum(4) - square(4!))) / sqrt(4))
