443: (((square(4!) - 4) / 4) + sum(4!))
443: (sum(4!) + ((square(4!) - 4) / 4))
443: (sum(4!) - ((4 - square(4!)) / 4))
443: (((square(4!) + sum(4!)) + sum(4)) / sqrt(4))
443: (((square(4!) + sum(4)) + sum(4!)) / sqrt(4))
443: (((sum(4!) + square(4!)) + sum(4)) / sqrt(4))
443: (((sum(4!) + sum(4)) + square(4!)) / sqrt(4))
443: (((sum(4) + square(4!)) + sum(4!)) / sqrt(4))
443: (((sum(4) + sum(4!)) + square(4!)) / sqrt(4))
443: ((square(4!) + (sum(4!) + sum(4))) / sqrt(4))
443: ((square(4!) + (sum(4) + sum(4!))) / sqrt(4))
443: ((sum(4!) + (square(4!) + sum(4))) / sqrt(4))
443: ((sum(4!) + (sum(4) + square(4!))) / sqrt(4))
443: ((sum(4) + (square(4!) + sum(4!))) / sqrt(4))
443: ((sum(4) + (sum(4!) + square(4!))) / sqrt(4))
