514: (((4 ^ 4) * sqrt(4)) + sqrt(4))
514: ((sqrt(4) * (4 ^ 4)) + sqrt(4))
514: (sqrt(4) + ((4 ^ 4) * sqrt(4)))
514: (sqrt(4) + (sqrt(4) * (4 ^ 4)))
514: (((sqrt(4) ^ sum(4)) + 4) / sqrt(4))
514: ((4 + (sqrt(4) ^ sum(4))) / sqrt(4))
514: (((sqrt(4) ^ sum(4)) / sqrt(4)) + sqrt(4))
514: ((sqrt(4) + square(4!)) - (4 * square(4)))
514: ((sqrt(4) + square(4!)) - (square(4) * 4))
514: ((sqrt(4) - (4 * square(4))) + square(4!))
514: ((sqrt(4) - (square(4) * 4)) + square(4!))
514: ((square(4!) + sqrt(4)) - (4 * square(4)))
514: ((square(4!) + sqrt(4)) - (square(4) * 4))
514: ((square(4!) - (4 * square(4))) + sqrt(4))
514: ((square(4!) - (square(4) * 4)) + sqrt(4))
514: (sqrt(4) + ((sqrt(4) ^ sum(4)) / sqrt(4)))
514: (sqrt(4) + (square(4!) - (4 * square(4))))
514: (sqrt(4) + (square(4!) - (square(4) * 4)))
514: (sqrt(4) - ((4 * square(4)) - square(4!)))
514: (sqrt(4) - ((square(4) * 4) - square(4!)))
514: (square(4!) + (sqrt(4) - (4 * square(4))))
514: (square(4!) + (sqrt(4) - (square(4) * 4)))
514: (square(4!) - ((4 * square(4)) - sqrt(4)))
514: (square(4!) - ((square(4) * 4) - sqrt(4)))
514: (((square(4) ^ sqrt(4)) * sqrt(4)) + sqrt(4))
514: ((sqrt(4) * (square(4) ^ sqrt(4))) + sqrt(4))
514: (sqrt(4) + ((square(4) ^ sqrt(4)) * sqrt(4)))
514: (sqrt(4) + (sqrt(4) * (square(4) ^ sqrt(4))))
514: (((sqrt(4) * square(4)) * square(4)) + sqrt(4))
514: (((square(4) * sqrt(4)) * square(4)) + sqrt(4))
514: (((square(4) * square(4)) * sqrt(4)) + sqrt(4))
514: ((sqrt(4) * (square(4) * square(4))) + sqrt(4))
514: ((square(4) * (sqrt(4) * square(4))) + sqrt(4))
514: ((square(4) * (square(4) * sqrt(4))) + sqrt(4))
514: (sqrt(4) + ((sqrt(4) * square(4)) * square(4)))
514: (sqrt(4) + ((square(4) * sqrt(4)) * square(4)))
514: (sqrt(4) + ((square(4) * square(4)) * sqrt(4)))
514: (sqrt(4) + (sqrt(4) * (square(4) * square(4))))
514: (sqrt(4) + (square(4) * (sqrt(4) * square(4))))
514: (sqrt(4) + (square(4) * (square(4) * sqrt(4))))
514: (((square(4) + square(4)) * square(4)) + sqrt(4))
514: ((square(4) * (square(4) + square(4))) + sqrt(4))
514: (sqrt(4) + ((square(4) + square(4)) * square(4)))
514: (sqrt(4) + (square(4) * (square(4) + square(4))))
