222: (444 / sqrt(4))
222: ((4 * sum(4 / 0.4)) + sqrt(4))
222: ((sum(4 / 0.4) * 4) + sqrt(4))
222: (sqrt(4) + (4 * sum(4 / 0.4)))
222: (sqrt(4) + (sum(4 / 0.4) * 4))
222: (((4 + sum(4)) * square(4)) - sqrt(4))
222: (((sum(4) + 4) * square(4)) - sqrt(4))
222: ((square(4) * (4 + sum(4))) - sqrt(4))
222: ((square(4) * (sum(4) + 4)) - sqrt(4))
222: ((square(4) + sum(4 + square(4))) - 4)
222: ((square(4) + sum(square(4) + 4)) - 4)
222: ((square(4) - 4) + sum(4 + square(4)))
222: ((square(4) - 4) + sum(square(4) + 4))
222: ((sum(4 + square(4)) + square(4)) - 4)
222: ((sum(4 + square(4)) - 4) + square(4))
222: ((sum(square(4) + 4) + square(4)) - 4)
222: ((sum(square(4) + 4) - 4) + square(4))
222: (square(4) + (sum(4 + square(4)) - 4))
222: (square(4) + (sum(square(4) + 4) - 4))
222: (square(4) - (4 - sum(4 + square(4))))
222: (square(4) - (4 - sum(square(4) + 4)))
222: (sum(4 + square(4)) + (square(4) - 4))
222: (sum(4 + square(4)) - (4 - square(4)))
222: (sum(square(4) + 4) + (square(4) - 4))
222: (sum(square(4) + 4) - (4 - square(4)))
222: ((square(4) + sum(sum(4) + sum(4))) - 4)
222: ((square(4) - 4) + sum(sum(4) + sum(4)))
222: ((sum(sum(4) + sum(4)) + square(4)) - 4)
222: ((sum(sum(4) + sum(4)) - 4) + square(4))
222: (square(4 * sqrt(4 + sum(4))) - sqrt(4))
222: (square(4 * sqrt(sum(4) + 4)) - sqrt(4))
222: (square(4) + (sum(sum(4) + sum(4)) - 4))
222: (square(4) - (4 - sum(sum(4) + sum(4))))
222: (square(sqrt(4 + sum(4)) * 4) - sqrt(4))
222: (square(sqrt(sum(4) + 4) * 4) - sqrt(4))
222: (sum(sum(4) + sum(4)) + (square(4) - 4))
222: (sum(sum(4) + sum(4)) - (4 - square(4)))
