708: ((44 * square(4)) + 4)
708: ((square(4) * 44) + 4)
708: (4 + (44 * square(4)))
708: (4 + (square(4) * 44))
708: (4 + square(4 * sqrt(44)))
708: (4 + square(sqrt(44) * 4))
708: (square(4 * sqrt(44)) + 4)
708: (square(sqrt(44) * 4) + 4)
708: (0.4 * sum(4 + sum(4 / 0.4)))
708: (0.4 * sum(sum(4 / 0.4) + 4))
708: (sum(4 + sum(4 / 0.4)) * 0.4)
708: (sum(sum(4 / 0.4) + 4) * 0.4)
708: ((sqrt(4) * square(4)) + square(square(4) + sum(4)))
708: ((sqrt(4) * square(4)) + square(sum(4) + square(4)))
708: ((square(4) * sqrt(4)) + square(square(4) + sum(4)))
708: ((square(4) * sqrt(4)) + square(sum(4) + square(4)))
708: (square(square(4) + sum(4)) + (sqrt(4) * square(4)))
708: (square(square(4) + sum(4)) + (square(4) * sqrt(4)))
708: (square(sum(4) + square(4)) + (sqrt(4) * square(4)))
708: (square(sum(4) + square(4)) + (square(4) * sqrt(4)))
708: (sqrt(sqrt(4) ^ sum(4)) + square(square(4) + sum(4)))
708: (sqrt(sqrt(4) ^ sum(4)) + square(sum(4) + square(4)))
708: (square(square(4) + sum(4)) + sqrt(sqrt(4) ^ sum(4)))
708: (square(sum(4) + square(4)) + sqrt(sqrt(4) ^ sum(4)))
708: ((square(4) + square(4)) + square(square(4) + sum(4)))
708: ((square(4) + square(4)) + square(sum(4) + square(4)))
708: ((square(4) + square(square(4) + sum(4))) + square(4))
708: ((square(4) + square(sum(4) + square(4))) + square(4))
708: ((square(square(4) + sum(4)) + square(4)) + square(4))
708: ((square(sum(4) + square(4)) + square(4)) + square(4))
708: (square(4) + (square(4) + square(square(4) + sum(4))))
708: (square(4) + (square(4) + square(sum(4) + square(4))))
708: (square(4) + (square(square(4) + sum(4)) + square(4)))
708: (square(4) + (square(sum(4) + square(4)) + square(4)))
708: (square(square(4) + sum(4)) + (square(4) + square(4)))
708: (square(sum(4) + square(4)) + (square(4) + square(4)))
