210: (((4 + square(4)) * sum(4)) + sum(4))
210: (((square(4) + 4) * sum(4)) + sum(4))
210: ((sum(4) * (4 + square(4))) + sum(4))
210: ((sum(4) * (square(4) + 4)) + sum(4))
210: (sum(4) + ((4 + square(4)) * sum(4)))
210: (sum(4) + ((square(4) + 4) * sum(4)))
210: (sum(4) + (sum(4) * (4 + square(4))))
210: (sum(4) + (sum(4) * (square(4) + 4)))
210: (((sum(4) + sum(4)) * sum(4)) + sum(4))
210: ((sum(4) * (sum(4) + sum(4))) + sum(4))
210: (sum(4) + ((sum(4) + sum(4)) * sum(4)))
210: (sum(4) + (sum(4) * (sum(4) + sum(4))))
210: (((sqrt(4) * sum(4)) * sum(4)) + sum(4))
210: (((sum(4) * sqrt(4)) * sum(4)) + sum(4))
210: (((sum(4) * sum(4)) * sqrt(4)) + sum(4))
210: ((sqrt(4) * (sum(4) * sum(4))) + sum(4))
210: ((sum(4) * (sqrt(4) * sum(4))) + sum(4))
210: ((sum(4) * (sum(4) * sqrt(4))) + sum(4))
210: (sum(4) + ((sqrt(4) * sum(4)) * sum(4)))
210: (sum(4) + ((sum(4) * sqrt(4)) * sum(4)))
210: (sum(4) + ((sum(4) * sum(4)) * sqrt(4)))
210: (sum(4) + (sqrt(4) * (sum(4) * sum(4))))
210: (sum(4) + (sum(4) * (sqrt(4) * sum(4))))
210: (sum(4) + (sum(4) * (sum(4) * sqrt(4))))
210: (((sum(4) ^ sqrt(4)) * sqrt(4)) + sum(4))
210: ((sqrt(4) * (sum(4) ^ sqrt(4))) + sum(4))
210: (sum(4) + ((sum(4) ^ sqrt(4)) * sqrt(4)))
210: (sum(4) + (sqrt(4) * (sum(4) ^ sqrt(4))))
210: (((sum(4) / sqrt(4)) + square(4)) * sum(4))
210: ((square(4) + (sum(4) / sqrt(4))) * sum(4))
210: (sum(4) * ((sum(4) / sqrt(4)) + square(4)))
210: (sum(4) * (square(4) + (sum(4) / sqrt(4))))
