374: (sum(sqrt(4) + square(sum(4) / sqrt(4))) - 4)
374: (sum(square(sum(4) / sqrt(4)) + sqrt(4)) - 4)
374: ((square(4 + square(4)) - square(4)) - sum(4))
374: ((square(4 + square(4)) - sum(4)) - square(4))
374: ((square(square(4) + 4) - square(4)) - sum(4))
374: ((square(square(4) + 4) - sum(4)) - square(4))
374: (square(4 + square(4)) - (square(4) + sum(4)))
374: (square(4 + square(4)) - (sum(4) + square(4)))
374: (square(square(4) + 4) - (square(4) + sum(4)))
374: (square(square(4) + 4) - (sum(4) + square(4)))
374: ((square(sum(4) + sum(4)) - square(4)) - sum(4))
374: ((square(sum(4) + sum(4)) - sum(4)) - square(4))
374: (square(sum(4) + sum(4)) - (square(4) + sum(4)))
374: (square(sum(4) + sum(4)) - (sum(4) + square(4)))
374: ((square(sqrt(4) * sum(4)) - square(4)) - sum(4))
374: ((square(sqrt(4) * sum(4)) - sum(4)) - square(4))
374: ((square(sum(4) * sqrt(4)) - square(4)) - sum(4))
374: ((square(sum(4) * sqrt(4)) - sum(4)) - square(4))
374: (square(sqrt(4) * sum(4)) - (square(4) + sum(4)))
374: (square(sqrt(4) * sum(4)) - (sum(4) + square(4)))
374: (square(sum(4) * sqrt(4)) - (square(4) + sum(4)))
374: (square(sum(4) * sqrt(4)) - (sum(4) + square(4)))
374: ((square(4) + sum(sqrt(4) + square(4))) * sqrt(4))
374: ((square(4) + sum(square(4) + sqrt(4))) * sqrt(4))
374: ((sum(sqrt(4) + square(4)) + square(4)) * sqrt(4))
374: ((sum(square(4) + sqrt(4)) + square(4)) * sqrt(4))
374: (sqrt(4) * (square(4) + sum(sqrt(4) + square(4))))
374: (sqrt(4) * (square(4) + sum(square(4) + sqrt(4))))
374: (sqrt(4) * (sum(sqrt(4) + square(4)) + square(4)))
374: (sqrt(4) * (sum(square(4) + sqrt(4)) + square(4)))
