241: (4! * ((4! / square(4!)) + sum(4)))
241: (((square(4!) * sum(4)) + 4!) / 4!)
241: (((sum(4) * square(4!)) + 4!) / 4!)
241: ((sum(4) * 4!) + (sqrt(4!) / sqrt(4!)))
241: ((sum(4) * 4!) + (sqrt(4) / sqrt(4)))
241: ((sum(4) * 4!) + (square(4!) / square(4!)))
241: ((sum(4) * 4!) + (square(4) / square(4)))
241: ((sum(4) * 4!) + (sum(4!) / sum(4!)))
241: ((sum(4) * 4!) + (sum(4) / sum(4)))
241: ((sum(4) * 4!) + (4! / 4!))
241: ((sum(4) * 4!) + (4 / 4))
241: ((4! * sum(4)) + (sqrt(4!) / sqrt(4!)))
241: ((4! * sum(4)) + (sqrt(4) / sqrt(4)))
241: ((4! * sum(4)) + (square(4!) / square(4!)))
241: ((4! * sum(4)) + (square(4) / square(4)))
241: ((4! * sum(4)) + (sum(4!) / sum(4!)))
241: ((4! * sum(4)) + (sum(4) / sum(4)))
241: ((4! * sum(4)) + (4! / 4!))
241: ((4! * sum(4)) + (4 / 4))
241: (4! * (sum(4) + (4! / square(4!))))
241: (((4! / square(4!)) + sum(4)) * 4!)
241: ((sqrt(4!) / sqrt(4!)) + (sum(4) * 4!))
241: ((sqrt(4) / sqrt(4)) + (sum(4) * 4!))
241: ((sqrt(4!) / sqrt(4!)) + (4! * sum(4)))
241: ((sqrt(4) / sqrt(4)) + (4! * sum(4)))
241: ((square(4!) / square(4!)) + (sum(4) * 4!))
241: ((square(4) / square(4)) + (sum(4) * 4!))
241: ((square(4!) / square(4!)) + (4! * sum(4)))
241: ((square(4) / square(4)) + (4! * sum(4)))
241: ((sum(4!) / sum(4!)) + (sum(4) * 4!))
241: ((sum(4) / sum(4)) + (sum(4) * 4!))
241: ((sum(4!) / sum(4!)) + (4! * sum(4)))
241: ((sum(4) / sum(4)) + (4! * sum(4)))
241: ((4! / 4!) + (sum(4) * 4!))
241: ((4 / 4) + (sum(4) * 4!))
241: ((4! / 4!) + (4! * sum(4)))
241: ((4 / 4) + (4! * sum(4)))
241: ((4! + (square(4!) * sum(4))) / 4!)
241: ((4! + (sum(4) * square(4!))) / 4!)
241: ((sum(4) + (4! / square(4!))) * 4!)
241: ((square(4) + sum(4!)) - (sum(4!) / 4))
241: ((sum(4!) + square(4)) - (sum(4!) / 4))
241: (square(4) + (sum(4!) - (sum(4!) / 4)))
241: (sum(4!) + (square(4) - (sum(4!) / 4)))
241: ((square(4) - (sum(4!) / 4)) + sum(4!))
241: ((sum(4!) - (sum(4!) / 4)) + square(4))
241: (square(4) - ((sum(4!) / 4) - sum(4!)))
241: (sum(4!) - ((sum(4!) / 4) - square(4)))
