775: ((sum(4) * (sum(4!) + sum(4))) / 4)
775: ((sum(4) * (sum(4) + sum(4!))) / 4)
775: (sum(4) * ((sum(4!) + sum(4)) / 4))
775: (sum(4) * ((sum(4) + sum(4!)) / 4))
775: ((sum(4) / 4) * (sum(4!) + sum(4)))
775: ((sum(4) / 4) * (sum(4) + sum(4!)))
775: (sum(4) / (4 / (sum(4!) + sum(4))))
775: (sum(4) / (4 / (sum(4) + sum(4!))))
775: (((sum(4!) + sum(4)) * sum(4)) / 4)
775: (((sum(4) + sum(4!)) * sum(4)) / 4)
775: ((sum(4!) + sum(4)) * (sum(4) / 4))
775: ((sum(4) + sum(4!)) * (sum(4) / 4))
775: (((sum(4!) + sum(4)) / 4) * sum(4))
775: (((sum(4) + sum(4!)) / 4) * sum(4))
775: ((sum(4!) + sum(4)) / (4 / sum(4)))
775: ((sum(4) + sum(4!)) / (4 / sum(4)))
